date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
12:41:26	8488/8488	---M--	200	added ('OK')	image/png	date:Tue,%2014%20Jan%202020%2002:17:28%20GMT	http://commo.jfonlinecourse.com/img/bullet2.png	/home/v/websites/commo/commo.jfonlinecourse.com/img/bullet2.png	(from http://commo.jfonlinecourse.com/)
12:41:26	1647/1647	---M--	200	added ('OK')	image/png	date:Tue,%2014%20Jan%202020%2002:17:28%20GMT	http://commo.jfonlinecourse.com/img/slice.png	/home/v/websites/commo/commo.jfonlinecourse.com/img/slice.png	(from http://commo.jfonlinecourse.com/)
12:41:27	6642/6642	---M--	200	added ('OK')	image/png	date:Tue,%2014%20Jan%202020%2002:17:28%20GMT	http://commo.jfonlinecourse.com/img/services/a1.png	/home/v/websites/commo/commo.jfonlinecourse.com/img/services/a1.png	(from http://commo.jfonlinecourse.com/)
12:41:28	8824/8824	---M--	200	added ('OK')	image/png	date:Tue,%2014%20Jan%202020%2002:17:28%20GMT	http://commo.jfonlinecourse.com/img/services/a2.png	/home/v/websites/commo/commo.jfonlinecourse.com/img/services/a2.png	(from http://commo.jfonlinecourse.com/)
12:41:29	5452/5452	---M--	200	added ('OK')	image/png	date:Tue,%2014%20Jan%202020%2002:17:28%20GMT	http://commo.jfonlinecourse.com/img/services/a3.png	/home/v/websites/commo/commo.jfonlinecourse.com/img/services/a3.png	(from http://commo.jfonlinecourse.com/)
12:41:30	5854/5854	---M--	200	added ('OK')	image/png	date:Tue,%2014%20Jan%202020%2002:17:28%20GMT	http://commo.jfonlinecourse.com/img/services/a4.png	/home/v/websites/commo/commo.jfonlinecourse.com/img/services/a4.png	(from http://commo.jfonlinecourse.com/)
12:41:31	4800/4800	---M--	200	added ('OK')	image/png	date:Tue,%2014%20Jan%202020%2002:17:28%20GMT	http://commo.jfonlinecourse.com/img/services/a5.png	/home/v/websites/commo/commo.jfonlinecourse.com/img/services/a5.png	(from http://commo.jfonlinecourse.com/)
12:41:32	5683/5683	---M--	200	added ('OK')	image/png	date:Tue,%2014%20Jan%202020%2002:17:28%20GMT	http://commo.jfonlinecourse.com/img/services/a6.png	/home/v/websites/commo/commo.jfonlinecourse.com/img/services/a6.png	(from http://commo.jfonlinecourse.com/)
12:41:34	24688/24688	---M--	200	added ('OK')	image/png	date:Tue,%2014%20Jan%202020%2002:17:28%20GMT	http://commo.jfonlinecourse.com/img/client/3.png	/home/v/websites/commo/commo.jfonlinecourse.com/img/client/3.png	(from http://commo.jfonlinecourse.com/)
12:41:35	12231/12231	---M--	200	added ('OK')	image/png	date:Tue,%2014%20Jan%202020%2002:17:28%20GMT	http://commo.jfonlinecourse.com/img/client/2.png	/home/v/websites/commo/commo.jfonlinecourse.com/img/client/2.png	(from http://commo.jfonlinecourse.com/)
12:41:36	11656/11656	---M--	200	added ('OK')	image/png	date:Tue,%2014%20Jan%202020%2002:17:28%20GMT	http://commo.jfonlinecourse.com/img/client/4.png	/home/v/websites/commo/commo.jfonlinecourse.com/img/client/4.png	(from http://commo.jfonlinecourse.com/)
12:41:37	4227/4227	---M--	200	added ('OK')	image/png	date:Tue,%2014%20Jan%202020%2002:17:28%20GMT	http://commo.jfonlinecourse.com/img/client/1.png	/home/v/websites/commo/commo.jfonlinecourse.com/img/client/1.png	(from http://commo.jfonlinecourse.com/)
12:41:37	5930/5930	---M--	200	added ('OK')	image/png	date:Tue,%2014%20Jan%202020%2002:17:28%20GMT	http://commo.jfonlinecourse.com/img/client/5.png	/home/v/websites/commo/commo.jfonlinecourse.com/img/client/5.png	(from http://commo.jfonlinecourse.com/)
12:41:38	1647/1647	---M--	200	added ('OK')	image/png	date:Tue,%2014%20Jan%202020%2002:17:28%20GMT	http://commo.jfonlinecourse.com/img/slice2.png	/home/v/websites/commo/commo.jfonlinecourse.com/img/slice2.png	(from http://commo.jfonlinecourse.com/)
12:41:50	89279/89279	---M--	200	added ('OK')	image/jpeg	date:Tue,%2014%20Jan%202020%2002:17:28%20GMT	http://commo.jfonlinecourse.com/img/portfolio/app1.jpg	/home/v/websites/commo/commo.jfonlinecourse.com/img/portfolio/app1.jpg	(from http://commo.jfonlinecourse.com/)
12:41:51	43194/43194	---M--	200	added ('OK')	image/jpeg	date:Tue,%2014%20Jan%202020%2002:17:28%20GMT	http://commo.jfonlinecourse.com/img/portfolio/app2.jpg	/home/v/websites/commo/commo.jfonlinecourse.com/img/portfolio/app2.jpg	(from http://commo.jfonlinecourse.com/)
12:41:58	85159/85159	---M--	200	added ('OK')	image/jpeg	date:Tue,%2014%20Jan%202020%2002:17:28%20GMT	http://commo.jfonlinecourse.com/img/portfolio/card2.jpg	/home/v/websites/commo/commo.jfonlinecourse.com/img/portfolio/card2.jpg	(from http://commo.jfonlinecourse.com/)
12:42:07	144155/144155	---M--	200	added ('OK')	image/jpeg	date:Tue,%2014%20Jan%202020%2002:17:28%20GMT	http://commo.jfonlinecourse.com/img/portfolio/web3.jpg	/home/v/websites/commo/commo.jfonlinecourse.com/img/portfolio/web3.jpg	(from http://commo.jfonlinecourse.com/)
12:42:10	91486/91486	---M--	200	added ('OK')	image/jpeg	date:Tue,%2014%20Jan%202020%2002:17:28%20GMT	http://commo.jfonlinecourse.com/img/portfolio/app3.jpg	/home/v/websites/commo/commo.jfonlinecourse.com/img/portfolio/app3.jpg	(from http://commo.jfonlinecourse.com/)
12:42:12	101844/101844	---M--	200	added ('OK')	image/jpeg	date:Tue,%2014%20Jan%202020%2002:17:28%20GMT	http://commo.jfonlinecourse.com/img/portfolio/card1.jpg	/home/v/websites/commo/commo.jfonlinecourse.com/img/portfolio/card1.jpg	(from http://commo.jfonlinecourse.com/)
12:42:14	7083/7083	---M-Z	200	added ('OK')	application/javascript	date:Tue,%2014%20Jan%202020%2002:17:30%20GMT	http://commo.jfonlinecourse.com/lib/jquery/jquery-migrate.min.js	/home/v/websites/commo/commo.jfonlinecourse.com/lib/jquery/jquery-migrate.min.js	(from http://commo.jfonlinecourse.com/)
12:42:19	86927/86927	---M-Z	200	added ('OK')	application/javascript	date:Tue,%2014%20Jan%202020%2002:17:30%20GMT	http://commo.jfonlinecourse.com/lib/jquery/jquery.min.js	/home/v/websites/commo/commo.jfonlinecourse.com/lib/jquery/jquery.min.js	(from http://commo.jfonlinecourse.com/)
12:42:22	2303/2303	---M-Z	200	added ('OK')	application/javascript	date:Tue,%2014%20Jan%202020%2002:17:28%20GMT	http://commo.jfonlinecourse.com/lib/easing/easing.min.js	/home/v/websites/commo/commo.jfonlinecourse.com/lib/easing/easing.min.js	(from http://commo.jfonlinecourse.com/)
12:42:22	76308/76308	---M-Z	200	added ('OK')	application/javascript	date:Tue,%2014%20Jan%202020%2002:17:28%20GMT	http://commo.jfonlinecourse.com/lib/bootstrap/js/bootstrap.bundle.min.js	/home/v/websites/commo/commo.jfonlinecourse.com/lib/bootstrap/js/bootstrap.bundle.min.js	(from http://commo.jfonlinecourse.com/)
12:42:24	1413/1413	---M-Z	200	added ('OK')	application/javascript	date:Tue,%2014%20Jan%202020%2002:17:30%20GMT	http://commo.jfonlinecourse.com/lib/mobile-nav/mobile-nav.js	/home/v/websites/commo/commo.jfonlinecourse.com/lib/mobile-nav/mobile-nav.js	(from http://commo.jfonlinecourse.com/)
12:42:26	9028/9028	---M-Z	200	added ('OK')	application/javascript	date:Tue,%2014%20Jan%202020%2002:17:30%20GMT	http://commo.jfonlinecourse.com/lib/waypoints/waypoints.min.js	/home/v/websites/commo/commo.jfonlinecourse.com/lib/waypoints/waypoints.min.js	(from http://commo.jfonlinecourse.com/)
12:42:26	8159/8159	---M-Z	200	added ('OK')	application/javascript	date:Tue,%2014%20Jan%202020%2002:17:30%20GMT	http://commo.jfonlinecourse.com/lib/wow/wow.min.js	/home/v/websites/commo/commo.jfonlinecourse.com/lib/wow/wow.min.js	(from http://commo.jfonlinecourse.com/)
12:42:28	2406/2406	---M-Z	200	added ('OK')	application/javascript	date:Tue,%2014%20Jan%202020%2002:17:28%20GMT	http://commo.jfonlinecourse.com/lib/counterup/counterup.min.js	/home/v/websites/commo/commo.jfonlinecourse.com/lib/counterup/counterup.min.js	(from http://commo.jfonlinecourse.com/)
12:42:32	44342/44342	---M-Z	200	added ('OK')	application/javascript	date:Tue,%2014%20Jan%202020%2002:17:30%20GMT	http://commo.jfonlinecourse.com/lib/owlcarousel/owl.carousel.min.js	/home/v/websites/commo/commo.jfonlinecourse.com/lib/owlcarousel/owl.carousel.min.js	(from http://commo.jfonlinecourse.com/)
12:42:33	35503/35503	---M-Z	200	added ('OK')	application/javascript	date:Tue,%2014%20Jan%202020%2002:17:30%20GMT	http://commo.jfonlinecourse.com/lib/isotope/isotope.pkgd.min.js	/home/v/websites/commo/commo.jfonlinecourse.com/lib/isotope/isotope.pkgd.min.js	(from http://commo.jfonlinecourse.com/)
